title,n_jobs
Business Analyst,146
Data Analyst,137
Data Engineer,90
Data Scientist,56
Senior Data Engineer,44
Senior Business Analyst,34
Senior Data Analyst,25
Machine Learning Engineer,23
Senior Data Scientist,21
Online Data Analyst,20
Senior Machine Learning Engineer,19
Technical Business Analyst,16
Business Intelligence Developer,14
Business Intelligence Analyst,13
Product Analyst,13
Lead Data Engineer,12
Lead Data Scientist,11
Marketing Analyst,11
IT Business Analyst,10
Business Data Analyst,10
Sr. Business Analyst,7
Data Engineer II,7
Business Intelligence Engineer,6
Data Scientist Lead – Telematics (Remote),6
Sr. Data Engineer,6
Senior Business Intelligence Developer,5
Business Analyst II,5
Master Data Analyst,5
Financial Data Analyst,5
Business Intelligence Consultant,5
