skill_name,n_jobs
Information Technology,1464
Analyst,575
Engineering,461
Research,361
Business Development,105
Sales,91
Other,82
Marketing,39
Finance,37
Consulting,36
Strategy/Planning,36
Project Management,28
Product Management,24
Management,23
Quality Assurance,20
General Business,18
Science,17
Administrative,17
Accounting/Auditing,11
Human Resources,11
Manufacturing,9
Advertising,7
Health Care Provider,6
Customer Service,6
Design,4
Supply Chain,4
Writing/Editing,3
Training,2
Public Relations,2
Legal,2
